"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","KHARIF SORGHUM AREA (1000 ha)","KHARIF SORGHUM PRODUCTION (1000 tons)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM AREA (1000 ha)","RABI SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM YIELD (Kg per ha)","SORGHUM AREA (1000 ha)","SORGHUM PRODUCTION (1000 tons)","SORGHUM YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","FINGER MILLET AREA (1000 ha)","FINGER MILLET PRODUCTION (1000 tons)","FINGER MILLET YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SESAMUM AREA (1000 ha)","SESAMUM PRODUCTION (1000 tons)","SESAMUM YIELD (Kg per ha)","RAPESEED AND MUSTARD AREA (1000 ha)","RAPESEED AND MUSTARD PRODUCTION (1000 tons)","RAPESEED AND MUSTARD YIELD (Kg per ha)","SAFFLOWER AREA (1000 ha)","SAFFLOWER PRODUCTION (1000 tons)","SAFFLOWER YIELD (Kg per ha)","CASTOR AREA (1000 ha)","CASTOR PRODUCTION (1000 tons)","CASTOR YIELD (Kg per ha)","LINSEED AREA (1000 ha)","LINSEED PRODUCTION (1000 tons)","LINSEED YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"800","1966","13","West Bengal","24 Parganas","603.36","628.09","1040.99","1.16","1.04","896.55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","1000.0","0.0","0.0","0.0","0.0","0.0","0.0","11.62","6.82","586.92","0.0","0.0","0.0","55.68","11.58","207.97","0.0","0.0","0.0","0.0","0.0","0.0","9.59","3.67","382.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.1","3.95","391.09","1.45","6.09","4200.0","0.0","0.0","0.0","5.26","26.63","31.89","3.2","-1.0","-1.0"
"800","1967","13","West Bengal","24 Parganas","618.82","682.16","1102.36","2.29","1.98","864.63","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.5","1250.0","0.0","0.0","0.0","0.08","0.05","625.0","12.02","5.98","497.5","0.0","0.0","0.0","48.52","12.02","247.73","0.0","0.0","0.0","0.0","0.0","0.0","6.68","2.0","299.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.1","2.2","309.86","1.41","5.38","3815.6","0.0","0.0","0.0","5.26","26.95","32.21","3.52","-1.0","-1.0"
"800","1968","13","West Bengal","24 Parganas","615.7","703.49","1142.59","3.92","4.86","1239.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.5","1250.0","0.0","0.0","0.0","0.1","0.07","700.0","8.9","7.21","810.11","0.0","0.0","0.0","58.64","8.99","153.31","0.0","0.0","0.0","0.0","0.0","0.0","9.34","5.79","619.91","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.3","6.2","601.94","1.89","9.49","5021.16","0.0","0.0","0.0","29.02","28.61","57.63","3.0","-1.0","-1.0"
"800","1969","13","West Bengal","24 Parganas","633.2","672.19","1061.58","5.43","6.19","1139.96","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.5","1000.0","0.0","0.0","0.0","0.1","0.08","800.0","11.6","5.8","500.0","0.0","0.0","0.0","54.28","11.4","210.02","0.0","0.0","0.0","0.0","0.0","0.0","8.34","3.75","449.64","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.7","4.0","459.77","2.08","10.82","5201.92","0.0","0.0","0.0","29.06","30.84","59.89","2.79","-1.0","-1.0"
"800","1970","13","West Bengal","24 Parganas","582.4","475.7","816.79","9.09","11.27","1239.82","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.3","750.0","0.0","0.0","0.0","0.0","0.0","0.0","9.5","6.55","689.47","0.0","0.0","0.0","46.47","9.55","205.51","0.0","0.0","0.0","0.0","0.0","0.0","10.79","5.07","469.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.6","5.4","465.52","1.84","8.13","4418.48","0.0","0.0","0.0","28.05","45.24","73.29","2.23","-1.0","0.0"
"800","1971","13","West Bengal","24 Parganas","614.2","566.56","922.44","12.37","12.12","979.79","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.3","750.0","0.0","0.0","0.0","0.0","0.0","0.0","8.3","6.14","739.76","0.0","0.0","0.0","41.31","8.36","202.37","0.0","0.0","0.0","0.0","0.0","0.0","10.19","2.96","290.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.4","3.55","311.4","1.52","6.1","4013.16","0.0","0.0","0.0","27.92","33.91","61.84","3.0","-1.0","0.04"
"800","1972","13","West Bengal","24 Parganas","615.9","621.12","1008.48","14.69","20.27","1379.85","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.1","250.0","0.0","0.0","0.0","0.0","0.0","0.0","6.5","3.51","540.0","0.0","0.0","0.0","35.3","6.49","183.85","0.0","0.0","0.0","0.0","0.0","0.0","4.97","1.84","370.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.01","1000.0","5.55","2.35","423.42","0.74","2.55","3445.95","0.0","0.0","0.0","27.8","30.3","58.1","3.7","-1.0","0.0"
"800","1973","13","West Bengal","24 Parganas","623.3","707.08","1134.41","10.86","13.57","1249.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.28","933.33","7.1","4.33","609.86","0.0","0.0","0.0","41.4","7.07","170.77","0.0","0.0","0.0","0.0","0.0","0.0","9.32","3.26","349.79","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.6","3.65","344.34","1.13","6.05","5353.98","0.0","0.0","0.0","29.1","34.3","63.4","3.33","-1.0","0.0"
"800","1974","13","West Bengal","24 Parganas","644.7","763.56","1184.36","17.85","31.42","1760.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.1","500.0","0.0","0.0","0.0","0.1","0.09","900.0","5.6","3.14","560.71","0.0","0.0","0.0","49.5","5.56","112.32","0.0","0.0","0.0","0.0","0.0","0.0","7.15","2.36","330.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.5","3.1","364.71","1.63","8.05","4938.65","0.0","0.0","0.0","26.8","77.0","103.8","3.5","-1.0","0.0"
"800","1975","13","West Bengal","24 Parganas","661.1","800.43","1210.75","17.78","26.14","1470.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","1000.0","0.0","0.0","0.0","0.2","0.2","1000.0","7.4","3.26","440.54","0.0","0.0","0.0","61.0","7.34","120.33","0.0","0.0","0.0","0.0","0.0","0.0","5.72","2.63","459.79","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.2","3.4","414.63","1.21","4.77","3942.15","0.0","0.0","0.0","29.0","77.0","106.0","5.2","-1.0","0.0"
